agegroup,group,participant,block,trial,active_bool,handangle_deg,localization_deg,RT_ms
cntrl,30explicit,35,4,573,0,138.642430572815,133.113659385735,1899
cntrl,30explicit,35,4,574,0,113.300708542361,101.466682961085,1929
cntrl,30explicit,35,4,575,0,127.88774479558,119.388579135502,1899
cntrl,30explicit,35,4,576,0,53.9197135040626,36.2830272584641,1899
cntrl,30explicit,35,4,577,0,54.813164347736,37.9414001304309,1919
cntrl,30explicit,35,4,578,0,93.4945308205229,79.625093898615,1959
cntrl,30explicit,35,4,579,0,135.400434775581,129.120402305081,1900
cntrl,30explicit,35,4,580,0,73.1990776409954,58.1869988037283,1919
cntrl,30explicit,35,4,581,0,121.779853213396,110.552148252903,1880
cntrl,30explicit,35,4,583,0,143.967415940521,139.741827438657,1920
cntrl,30explicit,35,4,584,0,99.4570228011624,87.2036851870593,1919
cntrl,30explicit,35,4,585,0,59.7359420551128,43.1643650993929,1939
cntrl,30explicit,35,4,586,0,122.35951287326,111.746639210763,1959
cntrl,30explicit,35,4,587,0,100.9787974119,89.6346822786676,1839
cntrl,30explicit,35,4,588,0,48.9914449429792,30.3858560182113,1879
cntrl,30explicit,36,1,92,1,142.095297431212,138.746136834643,2811
cntrl,30explicit,36,1,94,1,88.0770564115652,78.6885925321478,2575
cntrl,30explicit,36,1,96,1,127.848495625449,121.126524749233,2578
cntrl,30explicit,36,1,98,1,136.92384613666,133.029730044274,2539
cntrl,30explicit,36,1,99,1,75.5733243182381,65.0893079286035,2470
cntrl,30explicit,36,1,100,1,118.758710872792,110.497381399517,2434
cntrl,30explicit,36,1,101,1,122.118213162067,113.230823467215,2159
cntrl,30explicit,36,1,103,1,138.314575593126,134.52889964779,2099
cntrl,30explicit,36,1,104,1,71.7737146116132,63.5179889192907,2200
cntrl,30explicit,36,1,105,1,114.590827873682,108.453468803572,2226
cntrl,30explicit,36,1,106,1,130.536923375857,125.301725939349,2219
cntrl,30explicit,36,1,108,1,114.439425408059,108.265206380411,2259
cntrl,30explicit,36,2,235,1,64.1181829172887,58.5138753829642,3502
cntrl,30explicit,36,2,236,1,117.158583804626,109.461748438143,2499
cntrl,30explicit,36,2,237,1,74.681703512135,64.4125226971205,2679
cntrl,30explicit,36,2,239,1,72.1998892303472,63.5540449210226,2547
cntrl,30explicit,36,2,240,1,111.594480219739,106.466765294026,2440
cntrl,30explicit,36,2,241,1,113.858614193201,107.657937595201,2380
cntrl,30explicit,36,2,242,1,74.8546428002382,64.3846094084665,2220
cntrl,30explicit,36,2,243,1,66.7992673249306,61.2014173320222,2319
cntrl,30explicit,36,2,245,1,117.158583804626,109.708565993638,2618
cntrl,30explicit,36,2,247,1,115.171895018935,108.688140898844,2339
cntrl,30explicit,36,2,248,1,62.7254280610278,61.4646200153324,2499
cntrl,30explicit,36,2,250,1,146.359831767594,142.235323144121,2799
cntrl,30explicit,36,2,251,1,109.957666585609,105.156987226921,2339
cntrl,30explicit,36,2,252,1,78.8137883994139,66.8282651382298,2420
cntrl,30explicit,36,3,379,1,150.746079197764,146.826220669869,3065
cntrl,30explicit,36,3,380,1,109.641614253729,104.632238377913,2727
cntrl,30explicit,36,3,381,1,71.3882133651277,63.2818180804873,2259
cntrl,30explicit,36,3,382,1,115.633879967422,109.039289198231,2679
cntrl,30explicit,36,3,384,1,114.569110673434,108.240215269733,2359
cntrl,30explicit,36,3,386,1,135.930902926933,131.5688028601,2657
cntrl,30explicit,36,3,389,1,109.450263781801,104.653872155755,2759
cntrl,30explicit,36,3,390,1,76.7777825213451,65.2281338095439,2751
cntrl,30explicit,36,3,391,1,115.722172188727,108.683838871065,2827
cntrl,30explicit,36,3,392,1,71.1132289474694,63.2053986227443,2985
cntrl,30explicit,36,3,393,1,114.841238481765,108.469012672581,2767
cntrl,30explicit,36,3,394,1,113.294176321558,107.643673969698,2673
cntrl,30explicit,36,3,395,1,107.674990974065,102.650861435569,2566
cntrl,30explicit,36,4,523,1,116.031785564359,109.013627933406,3276
cntrl,30explicit,36,4,524,1,72.533128566543,63.7333000398803,2379
cntrl,30explicit,36,4,525,1,112.877961549813,107.43334200984,2059
cntrl,30explicit,36,4,526,1,75.1925859972238,64.7175493192523,2179
cntrl,30explicit,36,4,527,1,104.002189380962,98.7379376881192,2679
cntrl,30explicit,36,4,528,1,111.586697297058,106.118956139316,2359
cntrl,30explicit,36,4,529,1,100.9129210808,94.8378593546078,2789
cntrl,30explicit,36,4,531,1,109.172689196509,104.259625452073,2819
cntrl,30explicit,36,4,532,1,126.877206882756,119.611129850163,2634
cntrl,30explicit,36,4,533,1,104.69511583055,99.6375989965574,2510
cntrl,30explicit,36,4,534,1,79.9543388229886,67.8793361678112,2586
cntrl,30explicit,36,4,535,1,117.190018027258,109.623417896173,2744
cntrl,30explicit,36,4,537,1,110.953563228666,106.096625785646,2579
cntrl,30explicit,36,4,539,1,120.426003225977,111.847317306645,2354
cntrl,30explicit,36,4,540,1,106.277389294036,101.726929162727,2399
cntrl,30explicit,36,1,139,0,64.300616801462,58.4012419350938,2492
cntrl,30explicit,36,1,140,0,142.094430825804,139.330864100383,2279
cntrl,30explicit,36,1,142,0,85.1513517483076,72.9274025957746,2439
cntrl,30explicit,36,1,144,0,125.216594222845,117.22372991153,2559
cntrl,30explicit,36,1,146,0,135.898926551287,132.356448252885,2440
cntrl,30explicit,36,1,147,0,75.6848348450007,65.1824262291061,2474
cntrl,30explicit,36,1,148,0,118.776920750534,110.246364828516,2366
cntrl,30explicit,36,1,149,0,122.408583174679,113.585928959308,2399
cntrl,30explicit,36,1,151,0,136.277134354791,133.384446705353,2380
cntrl,30explicit,36,1,152,0,71.9289327476772,63.7812894605739,2623
cntrl,30explicit,36,1,153,0,114.521351668604,108.501107138717,2445
cntrl,30explicit,36,1,154,0,129.664826260791,123.500898565567,2367
cntrl,30explicit,36,1,156,0,112.725766450254,107.456526630918,2363
cntrl,30explicit,36,2,283,0,65.0711779474056,59.3531128465713,2755
cntrl,30explicit,36,2,284,0,113.682507658425,107.514090820809,2551
cntrl,30explicit,36,2,285,0,74.7360094385569,64.2714051756718,2439
cntrl,30explicit,36,2,287,0,69.9039355087497,63.0128547417906,2519
cntrl,30explicit,36,2,288,0,112.020015350148,106.673219924695,2599
cntrl,30explicit,36,2,289,0,110.068677655832,105.237860442563,3112
cntrl,30explicit,36,2,290,0,74.7589978144774,64.6345685509673,2564
cntrl,30explicit,36,2,291,0,66.754957525565,61.4961005679088,2339
cntrl,30explicit,36,2,293,0,116.332982041301,109.276334866994,4012
cntrl,30explicit,36,2,295,0,112.418106573382,107.027687108168,2459
cntrl,30explicit,36,2,296,0,62.6352168918095,60.0814558115639,2519
cntrl,30explicit,36,2,298,0,144.952216966479,141.535680943694,2579
cntrl,30explicit,36,2,299,0,109.106854037096,104.418680164221,2513
cntrl,30explicit,36,2,300,0,79.0461407616086,67.5164181221133,2573
cntrl,30explicit,36,3,427,0,149.424523417491,147.081318025228,2448
cntrl,30explicit,36,3,428,0,106.29957144217,101.53444689442,2539
cntrl,30explicit,36,3,429,0,72.622648513374,63.8395360371455,2499
cntrl,30explicit,36,3,430,0,114.860769069477,108.399298251216,2719
cntrl,30explicit,36,3,433,0,81.0577224718829,68.5668025544493,2459
cntrl,30explicit,36,3,434,0,135.255751315968,131.966579137601,2580
cntrl,30explicit,36,3,437,0,108.733236221595,103.895651902076,2471
cntrl,30explicit,36,3,438,0,77.4242292705639,66.0346205400081,2387
cntrl,30explicit,36,3,439,0,115.022977359439,108.491261440115,3489
cntrl,30explicit,36,3,440,0,73.0027253206429,64.4467820163484,2219
cntrl,30explicit,36,3,441,0,115.198033123153,108.711590519216,2199
cntrl,30explicit,36,3,442,0,116.173502183605,109.051410136768,2179
cntrl,30explicit,36,3,443,0,107.643080126708,102.926067201558,2099
cntrl,30explicit,36,4,571,0,115.730085183412,108.817892762271,2339
cntrl,30explicit,36,4,572,0,72.5920649990612,63.8726261553023,2281
cntrl,30explicit,36,4,573,0,111.627758989057,106.630080642859,2400
cntrl,30explicit,36,4,574,0,76.6904079729456,65.9360664539917,2418
cntrl,30explicit,36,4,575,0,104.130346248894,99.0842725413568,3163
cntrl,30explicit,36,4,576,0,112.03887669639,106.958839718005,2339
cntrl,30explicit,36,4,577,0,101.041851152003,94.7152917317491,2319
cntrl,30explicit,36,4,579,0,106.540596217891,101.895266807058,2499
cntrl,30explicit,36,4,580,0,127.324735437074,119.532740410282,2599
cntrl,30explicit,36,4,581,0,103.967782258893,99.512445869714,2499
cntrl,30explicit,36,4,583,0,117.041907288771,109.629744224016,2743
cntrl,30explicit,36,4,585,0,109.051138636933,104.615899927858,2576
cntrl,30explicit,36,4,587,0,118.989378939684,110.785723555648,2654
cntrl,30explicit,36,4,588,0,103.452373602525,99.5420135987148,2438
cntrl,30explicit,37,1,92,1,114.990371031205,104.585004784104,3140
cntrl,30explicit,37,1,93,1,137.14144025188,126.423792895058,3138
cntrl,30explicit,37,1,94,1,64.7013620321261,57.8560983395184,2753
cntrl,30explicit,37,1,95,1,135.907958201327,124.820010164304,3254
cntrl,30explicit,37,1,96,1,100.908326813677,91.8524429302087,3054
cntrl,30explicit,37,1,97,1,103.774944749653,94.4507109601404,2501
cntrl,30explicit,37,1,98,1,61.6781638628808,55.4529044657091,2639
cntrl,30explicit,37,1,99,1,151.862453351075,147.313555041215,2541
cntrl,30explicit,37,1,100,1,54.7453595966688,52.4236864531946,2580
cntrl,30explicit,37,1,101,1,112.546333106831,100.511436376106,2674
cntrl,30explicit,37,1,103,1,51.5807137756544,50.6946254604498,3823
cntrl,30explicit,37,1,104,1,104.155898990881,94.1196537255893,3597
cntrl,30explicit,37,1,106,1,135.960638448671,124.239147701658,3659
cntrl,30explicit,37,1,107,1,82.3745940682266,75.5708269061628,2866
cntrl,30explicit,37,1,108,1,70.1483630820312,62.3755773576706,2768
cntrl,30explicit,37,2,235,1,106.255129197691,96.3714475423803,3392
cntrl,30explicit,37,2,236,1,61.9727788257491,55.6404211598249,3052
cntrl,30explicit,37,2,237,1,138.601033727099,127.408420927503,2620
cntrl,30explicit,37,2,238,1,79.3922507850258,72.640953638634,2899
cntrl,30explicit,37,2,239,1,144.636490849551,135.656861355961,2799
cntrl,30explicit,37,2,240,1,57.3297335815319,53.5425219835687,2719
cntrl,30explicit,37,2,241,1,136.738046221543,125.598417474895,3019
cntrl,30explicit,37,2,242,1,94.6281823930508,86.7380438172601,2699
cntrl,30explicit,37,2,243,1,53.7010806222667,51.8270557371759,2699
cntrl,30explicit,37,2,244,1,104.207299855582,94.7195403210389,2646
cntrl,30explicit,37,2,245,1,129.911216060682,118.00170022703,2779
cntrl,30explicit,37,2,246,1,49.8827234527242,50.2003308189981,2679
cntrl,30explicit,37,2,247,1,104.356664622093,94.83818190371,2384
cntrl,30explicit,37,2,248,1,58.6283324706054,54.1275726775847,2659
cntrl,30explicit,37,2,249,1,136.648022683879,125.438537452911,2860
cntrl,30explicit,37,2,250,1,54.172515322688,52.0853487675441,2540
cntrl,30explicit,37,2,251,1,99.307555741646,90.2828073073762,2993
cntrl,30explicit,37,2,252,1,140.287437525693,129.451945221991,2939
cntrl,30explicit,37,3,379,1,106.491831864632,96.5736159318457,3508
cntrl,30explicit,37,3,380,1,58.7957044438612,54.1103472985558,2840
cntrl,30explicit,37,3,381,1,143.770500322655,134.544741617994,2680
cntrl,30explicit,37,3,382,1,105.300567686608,95.535608543042,2620
cntrl,30explicit,37,3,383,1,53.6027340416588,51.6533293652673,2658
cntrl,30explicit,37,3,384,1,123.61434057997,112.247967498916,2624
cntrl,30explicit,37,3,385,1,80.9966116575256,73.9204697062086,2779
cntrl,30explicit,37,3,386,1,142.029383974019,131.985958965689,2639
cntrl,30explicit,37,3,387,1,59.0117419926874,53.6679441668206,2639
cntrl,30explicit,37,3,388,1,96.1841635541214,87.5111540571097,2576
cntrl,30explicit,37,3,389,1,59.0054617784244,54.4916954371646,2699
cntrl,30explicit,37,3,390,1,138.891101346287,128.050933122671,2499
cntrl,30explicit,37,3,391,1,56.7591481604966,53.4053149801617,2884
cntrl,30explicit,37,3,392,1,105.709032014917,95.4644453544671,2519
cntrl,30explicit,37,3,393,1,138.944990484951,127.92778488765,3128
cntrl,30explicit,37,3,394,1,50.6469986727896,50.0730524415645,2480
